acceptance criteria:
specimen_fvds	specimen_q	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_maxdev	specimen_drats
0.30	1.00	2	0.140	11.0	13.0	15.000	17.0
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
mc147i	mc147i1	-	-	-	-	25.0	20.4	24.3	WARNING: No anisotropy correction
mc147j	mc147j2	-	-	-	-	25.0	19.7	23.0	WARNING: No anisotropy correction
mc147k	mc147k2	-	-	-	-	25.0	18.6	22.3	WARNING: No anisotropy correction
mc148d	mc148d1	-	-	-	-	25.0	24.9	77.8	WARNING: No anisotropy correction
mc148i	mc148i1	-	-	-	-	25.0	35.5	62.3	WARNING: No anisotropy correction
mc148j	mc148j1	-	-	-	-	25.0	33.7	64.0	WARNING: No anisotropy correction
mc14b	mc14b	-	-	-	-	40.0	52.8	107.2	WARNING: No anisotropy correction
mc14c	mc14c	-	-	-	-	40.0	35.0	40.4	WARNING: No anisotropy correction
mc14d	mc14d	-	-	-	-	40.0	22.4	61.6	WARNING: No anisotropy correction
mc14h	mc14h	-	-	-	-	40.0	54.6	142.2	WARNING: No anisotropy correction
mc153a	mc153a1	-	-	-	-	25.0	35.4	51.0	WARNING: No anisotropy correction
mc153c	mc153c1	-	-	-	-	25.0	34.5	139.7	WARNING: No anisotropy correction
mc154a	mc154a2	-	-	-	-	25.0	8.6	11.6	WARNING: No anisotropy correction
mc155c	mc155c1	-	-	-	-	25.0	26.2	54.3	WARNING: No anisotropy correction
mc155h	mc155h1	-	-	-	-	25.0	19.1	26.5	WARNING: No anisotropy correction
mc155m	mc155m1	-	-	-	-	25.0	15.1	47.4	WARNING: No anisotropy correction
mc157a	mc157a1	-	-	-	-	25.0	15.4	17.2	WARNING: No anisotropy correction
mc157b	mc157b1	-	-	-	-	25.0	13.9	15.6	WARNING: No anisotropy correction
mc157c	mc157c2	-	-	-	-	25.0	23.4	31.2	WARNING: No anisotropy correction
mc157e	mc157e2	-	-	-	-	25.0	23.8	35.4	WARNING: No anisotropy correction
mc158b	mc158b1	-	-	-	-	25.0	4.5	4.6	WARNING: No anisotropy correction
mc15a	mc15a	1.01	AARM	-	-	40.0	20.1	31.9	
mc15b	mc15b	0.97	AARM	-	-	40.0	23.3	32.3	
mc15c	mc15c	0.97	AARM	-	-	40.0	25.2	38.5	
mc15c	mc15c2	0.96	AARM	-	-	40.0	30.0	36.9	
mc15h	mc15h	1.05	AARM	-	-	40.0	22.8	28.4	
mc160a	mc160a1	-	-	-	-	25.0	19.3	27.9	WARNING: No anisotropy correction
mc160e	mc160e1	-	-	-	-	25.0	22.6	22.6	WARNING: No anisotropy correction
mc160f	mc160f2	-	-	-	-	25.0	18.1	24.1	WARNING: No anisotropy correction
mc161b	mc161b1	-	-	-	-	25.0	4.4	12.6	WARNING: No anisotropy correction
mc161g	mc161g1	-	-	-	-	25.0	4.1	4.1	WARNING: No anisotropy correction
mc162c	mc162c1	-	-	-	-	25.0	12.8	13.8	WARNING: No anisotropy correction
mc164c	mc164c1	-	-	-	-	25.0	77.3	86.4	WARNING: No anisotropy correction
mc164f	mc164f1	-	-	-	-	25.0	79.4	81.8	WARNING: No anisotropy correction
mc164j	mc164j1	-	-	-	-	25.0	80.5	88.1	WARNING: No anisotropy correction
mc165b	mc165b1	-	-	-	-	25.0	17.9	38.2	WARNING: No anisotropy correction
mc165c	mc165c1	-	-	-	-	25.0	15.0	53.4	WARNING: No anisotropy correction
mc165h	mc165h2	-	-	-	-	25.0	18.3	51.0	WARNING: No anisotropy correction
mc165i	mc165i2	-	-	-	-	25.0	17.5	74.6	WARNING: No anisotropy correction
mc166b	mc166b1	-	-	-	-	25.0	18.1	34.2	WARNING: No anisotropy correction
mc166c	mc166c1	-	-	-	-	25.0	22.6	39.0	WARNING: No anisotropy correction
mc166h	mc166h2	-	-	-	-	25.0	27.5	58.2	WARNING: No anisotropy correction
mc166i	mc166i2	-	-	-	-	25.0	31.7	54.6	WARNING: No anisotropy correction
mc167b	mc167b1	-	-	-	-	25.0	17.3	46.5	WARNING: No anisotropy correction
mc167d	mc167d2	-	-	-	-	25.0	33.0	52.8	WARNING: No anisotropy correction
mc167e	mc167e2	-	-	-	-	25.0	40.4	57.7	WARNING: No anisotropy correction
mc167k	mc167k1	-	-	-	-	25.0	39.1	48.8	WARNING: No anisotropy correction
mc19b	mc19b	-	-	-	-	40.0	22.4	26.3	WARNING: No anisotropy correction
mc200b	mc200b1	-	-	-	-	30.0	15.2	26.2	WARNING: No anisotropy correction
mc200c	mc200c1	-	-	-	-	30.0	14.7	19.6	WARNING: No anisotropy correction
mc200h	mc200h1	-	-	-	-	30.0	21.4	21.4	WARNING: No anisotropy correction
mc200i	mc200i1	-	-	-	-	30.0	12.9	12.9	WARNING: No anisotropy correction
mc205a	mc205a2	-	-	-	-	30.0	25.9	45.9	WARNING: No anisotropy correction
mc205b	mc205b1	-	-	1.00	-	30.0	20.2	35.1	WARNING: No anisotropy correction
mc205h	mc205h1	-	-	-	-	30.0	36.9	75.4	WARNING: No anisotropy correction
mc205i	mc205i2	-	-	-	-	30.0	32.1	46.3	WARNING: No anisotropy correction
mc205k	mc205k1	-	-	-	-	30.0	39.5	69.5	WARNING: No anisotropy correction
mc206b	mc206b1	-	-	-	-	30.0	60.8	77.7	WARNING: No anisotropy correction
mc206c	mc206c1	-	-	-	-	30.0	78.0	138.3	WARNING: No anisotropy correction
mc206d	mc206d1	-	-	-	-	30.0	49.8	49.8	WARNING: No anisotropy correction
mc207b	mc207b1	-	-	-	-	30.0	34.0	34.4	WARNING: No anisotropy correction
mc209b	mc209b1	-	-	-	-	30.0	28.5	30.2	WARNING: No anisotropy correction
mc211b	mc211b1	-	-	-	-	30.0	56.7	104.0	WARNING: No anisotropy correction
mc211e	mc211e1	-	-	-	-	30.0	45.9	101.6	WARNING: No anisotropy correction
mc211g	mc211g1	-	-	-	-	30.0	47.2	73.6	WARNING: No anisotropy correction
mc211h	mc211h1	-	-	-	-	30.0	51.7	89.5	WARNING: No anisotropy correction
mc211i	mc211i1	-	-	-	-	30.0	47.0	91.3	WARNING: No anisotropy correction
mc214b	mc214b1	-	-	-	-	30.0	39.1	57.6	WARNING: No anisotropy correction
mc214d	mc214d1	-	-	-	-	30.0	34.7	59.1	WARNING: No anisotropy correction
mc214g	mc214g1	-	-	-	-	30.0	36.5	60.1	WARNING: No anisotropy correction
mc214h	mc214h1	-	-	-	-	30.0	34.5	62.8	WARNING: No anisotropy correction
mc214j	mc214j1	-	-	-	-	30.0	32.4	40.7	WARNING: No anisotropy correction
mc215a	mc215a1	-	-	-	-	30.0	44.9	44.9	WARNING: No anisotropy correction
mc215b	mc215b1	-	-	-	-	30.0	38.7	38.7	WARNING: No anisotropy correction
mc215h	mc215h1	-	-	-	-	30.0	22.2	23.6	WARNING: No anisotropy correction
mc217a	mc217a1	-	-	1.00	-	30.0	26.4	27.6	WARNING: No anisotropy correction
mc217b	mc217b1	0.97	AARM	-	-	30.0	23.1	26.3	
mc217c	mc217c1	-	-	-	-	30.0	29.2	45.0	WARNING: No anisotropy correction
mc217d	mc217d1	-	-	-	-	30.0	26.9	29.9	WARNING: No anisotropy correction
mc217e	mc217e1	-	-	-	-	30.0	30.7	36.5	WARNING: No anisotropy correction
mc218a	mc218a1	-	-	-	-	30.0	27.3	43.1	WARNING: No anisotropy correction
mc218b	mc218b1	-	-	-	-	30.0	26.9	37.3	WARNING: No anisotropy correction
mc218d	mc218d1	-	-	-	-	30.0	29.0	39.5	WARNING: No anisotropy correction
mc218i	mc218i1	-	-	-	-	30.0	27.4	33.5	WARNING: No anisotropy correction
mc218j	mc218j1	-	-	-	-	30.0	30.2	40.8	WARNING: No anisotropy correction
mc219a	mc219a1	-	-	-	-	30.0	15.9	54.0	WARNING: No anisotropy correction
mc219b	mc219b1	-	-	-	-	30.0	19.1	93.3	WARNING: No anisotropy correction
mc219c	mc219c1	-	-	-	-	30.0	27.7	37.7	WARNING: No anisotropy correction
mc219d	mc219d1	-	-	-	-	30.0	26.2	36.4	WARNING: No anisotropy correction
mc219e	mc219e1	-	-	-	-	30.0	29.4	42.7	WARNING: No anisotropy correction
mc21a	mc21a	-	-	-	-	40.0	34.7	65.9	WARNING: No anisotropy correction
mc21b	mc21b	-	-	-	-	40.0	23.9	52.0	WARNING: No anisotropy correction
mc21c	mc21c	-	-	-	-	40.0	35.1	56.0	WARNING: No anisotropy correction
mc21e	mc21e	-	-	-	-	40.0	26.9	41.6	WARNING: No anisotropy correction
mc220a	mc220a1	-	-	-	-	30.0	34.2	118.0	WARNING: No anisotropy correction
mc220b	mc220b1	-	-	-	-	30.0	37.6	88.5	WARNING: No anisotropy correction
mc220c	mc220c1	-	-	-	-	30.0	34.3	84.6	WARNING: No anisotropy correction
mc220d	mc220d1	-	-	-	-	30.0	33.1	97.6	WARNING: No anisotropy correction
mc220e	mc220e1	-	-	-	-	30.0	41.2	84.4	WARNING: No anisotropy correction
mc223a	mc223a1	-	-	-	-	30.0	14.1	45.5	WARNING: No anisotropy correction
mc223b	mc223b1	-	-	-	-	30.0	15.0	42.4	WARNING: No anisotropy correction
mc223c	mc223c2	-	-	-	-	30.0	12.6	46.9	WARNING: No anisotropy correction
mc223g	mc223g1	-	-	-	-	30.0	17.2	17.2	WARNING: No anisotropy correction
mc223l	mc223l1	-	-	-	-	30.0	13.6	40.9	WARNING: No anisotropy correction
mc225a	mc225a1	-	-	-	-	30.0	28.1	29.6	WARNING: No anisotropy correction
mc225b	mc225b1	-	-	-	-	30.0	23.3	32.9	WARNING: No anisotropy correction
mc225c	mc225c1	-	-	-	-	30.0	19.7	34.9	WARNING: No anisotropy correction
mc225i	mc225i1	-	-	-	-	30.0	32.0	32.0	WARNING: No anisotropy correction
mc226b	mc226b1	-	-	-	-	30.0	20.0	25.3	WARNING: No anisotropy correction
mc227b	mc227b1	-	-	-	-	30.0	13.2	13.2	WARNING: No anisotropy correction
mc228a	mc228a1	-	-	-	-	30.0	11.5	12.2	WARNING: No anisotropy correction
mc228b	mc228b1	-	-	-	-	30.0	11.4	12.0	WARNING: No anisotropy correction
mc228e	mc228e1	-	-	-	-	30.0	13.7	14.3	WARNING: No anisotropy correction
mc228g	mc228g1	-	-	-	-	30.0	17.8	18.2	WARNING: No anisotropy correction
mc229g	mc229g1	-	-	-	-	30.0	18.5	58.6	WARNING: No anisotropy correction
mc229h	mc229h1	-	-	-	-	30.0	12.6	49.2	WARNING: No anisotropy correction
mc229i	mc229i1	-	-	-	-	30.0	15.2	56.8	WARNING: No anisotropy correction
mc229k	mc229k1	-	-	-	-	30.0	15.7	61.9	WARNING: No anisotropy correction
mc26a	mc26a	-	-	-	-	40.0	12.6	42.7	WARNING: No anisotropy correction
mc26c	mc26c	-	-	-	-	40.0	17.5	22.8	WARNING: No anisotropy correction
mc26d	mc26d	-	-	-	-	40.0	11.5	26.8	WARNING: No anisotropy correction
mc26e	mc26e	-	-	-	-	40.0	11.6	11.8	WARNING: No anisotropy correction
mc28b	mc28b	-	-	-	-	40.0	8.2	38.9	WARNING: No anisotropy correction
mc28c	mc28c	-	-	-	-	40.0	18.5	23.5	WARNING: No anisotropy correction
mc28f	mc28f	-	-	-	-	40.0	35.3	39.7	WARNING: No anisotropy correction
mc30a	mc30a	-	-	-	-	40.0	37.3	49.0	WARNING: No anisotropy correction
mc30b	mc30b	-	-	-	-	40.0	36.5	53.4	WARNING: No anisotropy correction
mc30d	mc30d	-	-	-	-	40.0	37.0	45.2	WARNING: No anisotropy correction
mc30e	mc30e	-	-	-	-	40.0	35.0	56.0	WARNING: No anisotropy correction
mc32a	mc32a	-	-	-	-	40.0	28.4	29.4	WARNING: No anisotropy correction
mc32b	mc32b	-	-	-	-	40.0	30.6	44.0	WARNING: No anisotropy correction
mc32d	mc32d	-	-	-	-	40.0	34.6	50.1	WARNING: No anisotropy correction
mc32e	mc32e	-	-	-	-	40.0	15.7	31.8	WARNING: No anisotropy correction
mc33c	mc33c	-	-	-	-	40.0	29.1	31.0	WARNING: No anisotropy correction
mc33e	mc33e	-	-	-	-	40.0	13.0	44.1	WARNING: No anisotropy correction
mc34c	mc34c	-	-	-	-	40.0	16.9	29.2	WARNING: No anisotropy correction
mc35a	mc35a	-	-	-	-	40.0	24.7	34.6	WARNING: No anisotropy correction
mc35b	mc35b	-	-	-	-	40.0	19.3	27.0	WARNING: No anisotropy correction
mc35c	mc35c	-	-	-	-	40.0	23.6	33.3	WARNING: No anisotropy correction
mc35d	mc35d	-	-	-	-	40.0	27.4	31.7	WARNING: No anisotropy correction
mc36a	mc36a	-	-	-	-	40.0	28.1	33.9	WARNING: No anisotropy correction
mc36b	mc36b	-	-	-	-	40.0	22.4	25.7	WARNING: No anisotropy correction
mc36e	mc36e	-	-	-	-	40.0	16.3	26.9	WARNING: No anisotropy correction
mc36h	mc36h	-	-	-	-	40.0	20.2	50.5	WARNING: No anisotropy correction
mc37c	mc37c	-	-	-	-	40.0	57.1	84.1	WARNING: No anisotropy correction
mc37d	mc37d	-	-	-	-	40.0	38.6	54.8	WARNING: No anisotropy correction
mc37e	mc37e	-	-	-	-	40.0	36.1	63.1	WARNING: No anisotropy correction
mc37h	mc37h	-	-	-	-	40.0	40.1	85.2	WARNING: No anisotropy correction
mc38g	mc38g	-	-	-	-	40.0	39.8	60.9	WARNING: No anisotropy correction
mc39a	mc39a	-	-	-	-	40.0	22.7	38.3	WARNING: No anisotropy correction
mc39c	mc39c	-	-	-	-	40.0	21.3	30.0	WARNING: No anisotropy correction
mc40b	mc40b	-	-	-	-	40.0	23.2	24.2	WARNING: No anisotropy correction
mc40e	mc40e	-	-	-	-	40.0	27.3	47.3	WARNING: No anisotropy correction
mc44a	mc44a	-	-	-	-	40.0	27.3	39.5	WARNING: No anisotropy correction
mc44b	mc44b	-	-	-	-	40.0	19.6	31.0	WARNING: No anisotropy correction
mc44g	mc44g	-	-	-	-	40.0	8.2	15.1	WARNING: No anisotropy correction
mc44h	mc44h	-	-	-	-	40.0	15.1	19.7	WARNING: No anisotropy correction
mc48g	mc48g	-	-	-	-	40.0	19.6	20.2	WARNING: No anisotropy correction
mc50a	mc50a	-	-	-	-	40.0	32.2	42.6	WARNING: No anisotropy correction
mc50b	mc50b	-	-	-	-	40.0	30.9	37.9	WARNING: No anisotropy correction
mc50f	mc50f	-	-	-	-	40.0	25.3	37.9	WARNING: No anisotropy correction
