Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
Sr,NIST614,45.8,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,87.62,4.58E-05,1E-07,5.2271170965533E-07,1.14129194247889E-09
Y,NIST614,0.79,0.032,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,88.90585,7.9E-07,3.2E-08,8.88580447743315E-09,3.59931320604887E-10
Zr,NIST614,0.848,0.028,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,91.224,8.48E-07,2.8E-08,9.29579935104797E-09,3.06936771025169E-10
Nb,NIST614,0.824,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,92.90638,8.24E-07,3E-08,8.86914332471032E-09,3.2290570356955E-10
Mo,NIST614,0.8,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,95.94,8E-07,3E-08,8.33854492391078E-09,3.12695434646654E-10
Rh,NIST614,1.54,0.18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,102.9055,1.54E-06,1.8E-07,1.49651865060662E-08,1.74917764356618E-09
Pd,NIST614,2.05,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,106.42,2.05E-06,1E-07,1.92632963728622E-08,9.39672993798158E-10
Ag,NIST614,0.42,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,107.8682,4.2E-07,4E-08,3.89364057247641E-09,3.7082291166442E-10
Cd,NIST614,0.56,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,112.411,5.6E-07,5E-08,4.981718870929E-09,4.44796327761518E-10
In,NIST614,0.79,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,114.818,7.9E-07,5E-08,6.88045428417147E-09,4.35471790137435E-10
Sn,NIST614,1.68,0.15,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,118.71,1.68E-06,1.5E-07,1.41521354561537E-08,1.26358352287086E-09
Sb,NIST614,0.79,0.064,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,121.76,7.9E-07,6.4E-08,6.48817345597898E-09,5.25624178712221E-10
Cs,NIST614,0.664,0.034,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,132.90545,6.64E-07,3.4E-08,4.99603289406115E-09,2.5582096144289E-10
Ba,NIST614,3.2,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,137.327,3.2E-06,9E-08,2.330204548268E-08,6.55370029200376E-10
La,NIST614,0.72,0.013,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,138.9055,7.2E-07,1.3E-08,5.1833800677439E-09,9.35888067787093E-11
Ce,NIST614,0.813,0.025,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.116,8.13E-07,2.5E-08,5.80233520797054E-09,1.78423591881013E-10
Pr,NIST614,0.768,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.90765,7.68E-07,1.5E-08,5.4503783151589E-09,1.06452701467947E-10
Nd,NIST614,0.752,0.014,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,144.24,7.52E-07,1.4E-08,5.21353300055463E-09,9.70604547975596E-11
Sm,NIST614,0.754,0.013,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,150.36,7.54E-07,1.3E-08,5.0146315509444E-09,8.64591646714552E-11
Eu,NIST614,0.77,0.016,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,151.964,7.7E-07,1.6E-08,5.06698955015662E-09,1.05288094548709E-10
Gd,NIST614,0.763,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,157.25,7.63E-07,2.1E-08,4.85214626391097E-09,1.33545310015898E-10
Tb,NIST614,0.739,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,158.92534,7.39E-07,2E-08,4.6499821866041E-09,1.25845255388474E-10
Dy,NIST614,0.746,0.022,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,162.5,7.46E-07,2.2E-08,4.59076923076923E-09,1.35384615384615E-10
Ho,NIST614,0.749,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,164.93032,7.49E-07,1.5E-08,4.54131174910714E-09,9.09474983132271E-11
Er,NIST614,0.74,0.017,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,167.259,7.4E-07,1.7E-08,4.42427612266007E-09,1.01638775790839E-10
Tm,NIST614,0.732,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,168.93421,7.32E-07,2E-08,4.33304775865113E-09,1.18389283023255E-10
Yb,NIST614,0.777,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,173.04,7.77E-07,2.1E-08,4.49029126213592E-09,1.21359223300971E-10
Lu,NIST614,0.732,0.018,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,174.967,7.32E-07,1.8E-08,4.18364605897112E-09,1.02876542433716E-10
Hf,NIST614,0.711,0.022,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,178.49,7.11E-07,2.2E-08,3.98341643789568E-09,1.23256204829402E-10
Ta,NIST614,0.808,0.026,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,180.9479,8.08E-07,2.6E-08,4.46537373464959E-09,1.43687768689219E-10
W,NIST614,0.806,0.071,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,183.84,8.06E-07,7.1E-08,4.38424717145344E-09,3.86205395996519E-10
Re,NIST614,0.17,0.008,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,186.207,1.7E-07,8E-09,9.12962455761599E-10,4.29629390946635E-11
Ir,NIST614,0.002,,,ug/g,GeoReM 5211,Jochum et al 2011,192.217,2E-09,,1.04049069541196E-11,
Pt,NIST614,2.36,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,195.078,2.36E-06,1.2E-07,1.20977250125591E-08,6.15138559960631E-10
Au,NIST614,0.48,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,196.96655,4.8E-07,7E-08,2.43696201207768E-09,3.55390293427996E-10
Tl,NIST614,0.273,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,204.3833,2.73E-07,2E-08,1.3357255705334E-09,9.78553531526304E-11
Pb,NIST614,2.32,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,207.2,2.32E-06,4E-08,1.11969111969112E-08,1.93050193050193E-10
Bi,NIST614,0.581,0.043,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,208.98038,5.81E-07,4.3E-08,2.78016529590003E-09,2.05760942725819E-10
Th,NIST614,0.748,0.006,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,232.0381,7.48E-07,6E-09,3.22360853670152E-09,2.58578224869106E-11
U,NIST614,0.823,0.002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,238.02891,8.23E-07,2E-09,3.45756320104142E-09,8.40234070726955E-12
